CODE,no
NAME,Norsk
PRR_NAME,Ploppable RICO Revisited
PRR_LEVEL,Level
PRR_LVL,Lvl
PRR_HOU,Husstand
PRR_WOR,Arbeidsplass
PRR_SRV_NON,Ingen
PRR_SRV_RES,Hushold
PRR_SRV_IND,Industri
PRR_SRV_OFF,Kontorer
PRR_SRV_COM,Kommersiell
PRR_SRV_EXT,Avtrekker
PRR_SUB_HIG,Høy
PRR_SUB_LOW,Lav
PRR_SUB_HEC,Høy økologisk
PRR_SUB_LEC,Lav økologisk
PRR_SUB_LEI,Fritid
PRR_SUB_TOU,Turist
PRR_SUB_ORG,Økologisk
PRR_SUB_GEN,Generelt
PRR_SUB_ITC,IT kontor
PRR_SUB_FAR,Gårdsbruk
PRR_SUB_FOR,Skogbruk
PRR_SUB_OIL,Olje
PRR_SUB_ORE,Mineral
PRR_FTR_ALL,Alle
PRR_FTR_NON,Ingen
PRR_FTR_NAM,Navn
PRR_FTR_SET,Instillingsfilter: Mod/Forfatter/lokal/alle
PRR_OPT_SET,Instillinger
PRR_OPT_MOD,Mod
PRR_OPT_AUT,Forfatter
PRR_OPT_LOC,Lokal
PRR_OPT_ENA,Skru på RICO
PRR_OPT_SER,Service
PRR_OPT_SUB,Undertjeneste
PRR_OPT_UIC,UI-Kategori
PRR_OPT_CST,Byggkostnad
PRR_OPT_CNT,Arbeider/Antall hjem
PRR_OPT_POP,Bruk Realistic pop mod
PRR_OPT_POL,Skru på Befolkning
PRR_OPT_GRO,Voksbar
PRR_OPT_JB0,Uutdannede jobber
PRR_OPT_JB1,Utdannede jobber
PRR_OPT_JB2,Velutdannede jobber
PRR_OPT_JB3,Høy utdannede jobber
PRR_OPT_URP,Befolkningsinnstillinger er deaktivert fordi alternativet Realistisk befolkning er aktivert
PRR_CAT_MON,Monumenter
PRR_CAT_BEA,Forskjønnelse
PRR_CAT_EDU,Utdannelse
PRR_CAT_HEA,Helse
PRR_CAT_FIR,Brannvesenet
PRR_CAT_POL,Politi
PRR_CAT_POW,Strøm
PRR_CAT_WAT,Vann
PRR_CAT_GAR,Søppel
PRR_CAT_PIN,Spiller industri
PRR_CAT_RES,Boliger
PRR_CAT_COM,Kommersiell
PRR_CAT_OFF,Kontorer
PRR_CAT_IND,Industrier
PRR_UIC_REL,Små boliger
PRR_UIC_REH,Stor boliger
PRR_UIC_COL,Små Kommersielle
PRR_UIC_COH,Stor Kommersielle
PRR_UIC_OFF,Kontorer
PRR_UIC_IND,Industrier
PRR_UIC_FAR,Gårdsbruk
PRR_UIC_FOR,Skogbruk
PRR_UIC_OIL,Olje
PRR_UIC_ORE,Mineral
PRR_UIC_LEI,Fritid
PRR_UIC_TOU,Turist
PRR_UIC_ORG,Organisk Kommersiell
PRR_UIC_ITC,IT kontor
PRR_UIC_ECO,Selvforsynte boliger
PRR_UIC_NON,Ingen
PRR_SET,Instillinger
PRR_SET_RICO,RICO instillinger
PRR_SET_HASMOD,Mod instillinger
PRR_SET_NOMOD,Ingen mod instillinger
