"LANGUAGE","Українська"
"PRR_NAME","Ploppable RICO Revisited"
"PRR_LEVEL","Рівень"
"PRR_LVL","Рівень"
"PRR_HOU","Домогосподарство"
"PRR_WOR","Робочі місця"
"PRR_SRV_NON","Відсутні"
"PRR_SRV_RES","Житловий"
"PRR_SRV_IND","Промисловість"
"PRR_SRV_OFF","Офіси"
"PRR_SRV_COM","Комерція"
"PRR_SRV_EXT","Витяг"
"PRR_SRV_DUM","Фіктивний"
"PRR_SUB_HIG","Високий рівень"
"PRR_SUB_LOW","Низький рівень"
"PRR_SUB_W2W","Стіна до стіни"
"PRR_SUB_HEC","Високий рівень еко-будинків"
"PRR_SUB_LEC","Низький рівень еко-будинків"
"PRR_SUB_LEI","Дозвілля"
"PRR_SUB_TOU","Туризм"
"PRR_SUB_ORG","Еко(органічний)"
"PRR_SUB_GEN","Основне"
"PRR_SUB_FIN","Фінансові об'єкти"
"PRR_SUB_ITC","ІТ кластер"
"PRR_SUB_FAR","Ферми"
"PRR_SUB_FOR","Лісова промисловість"
"PRR_SUB_OIL","Нафта"
"PRR_SUB_ORE","Гірнича промисловість"
"PRR_FTR_ALL","Усі об'єкти"
"PRR_FTR_NON","Відсутні"
"PRR_FTR_NAM","Назва"
"PRR_FTR_SET","Фільтр налаштувань: Мод/Автор/Локальні об'єкти/Усе"
"PRR_OPT_SET","Налаштування"
"PRR_OPT_MOD","Мод"
"PRR_OPT_AUT","Автор"
"PRR_OPT_LOC","Локальний"
"PRR_OPT_ENA","Увімкнути RICO"
"PRR_OPT_SER","Сервіс"
"PRR_OPT_SUB","Підсервіс"
"PRR_OPT_UIC","Категорія інтерфейсу"
"PRR_OPT_CST","Вартість будівництва"
"PRR_OPT_CNT","Кількість робітників"
"PRR_OPT_POP","Використовувати Realistic Pop mod"
"PRR_OPT_POL","Увімкнути забруднення"
"PRR_OPT_GRO","Зростаючий"
"PRR_OPT_JB0","Неосвічені робочі місця"
"PRR_OPT_JB1","Освічені робочі місця"
"PRR_OPT_JB2","Добре освічені робочі місця"
"PRR_OPT_JB3","Високоосвічені робочі місця"
"PRR_OPT_URP","Налаштування населення вимкнено, оскільки увімкнено параметр ""Реалістичне населення"""
"PRR_CAT_MON","Монументи"
"PRR_CAT_BEA","Прикраси"
"PRR_CAT_EDU","Освіта"
"PRR_CAT_HEA","Здоров'я"
"PRR_CAT_FIR","Пожежна служба"
"PRR_CAT_POL","Поліція"
"PRR_CAT_POW","Електрика"
"PRR_CAT_WAT","Вода"
"PRR_CAT_GAR","Сміття"
"PRR_CAT_PIN","Industries DLC"
"PRR_CAT_RES","Житловий"
"PRR_CAT_COM","Комерція"
"PRR_CAT_OFF","Офіси"
"PRR_CAT_IND","Промисловість"
"PRR_UIC_REL","Житлова забудова низької щільності"
"PRR_UIC_REH","Житлова забудова високої щільності"
"PRR_UIC_COL","Комерція низької забудови"
"PRR_UIC_COH","Комерція високої забудови"
"PRR_UIC_OFF","Офіси"
"PRR_UIC_IND","Промисловість"
"PRR_UIC_FAR","Сільське господарство"
"PRR_UIC_FOR","Лісова промисловість"
"PRR_UIC_OIL","Нафта"
"PRR_UIC_ORE","Гірнича промисловість"
"PRR_UIC_LEI","Відпочинок"
"PRR_UIC_TOU","Туризм"
"PRR_UIC_ORG","Органічна комерція"
"PRR_UIC_ITC","ІТ кластер"
"PRR_UIC_ECO","Автономні будинки"
"PRR_UIC_NON","Відсутні"
"PRR_SET","Налаштування"
"PRR_SET_RICO","Параметри RICO"
"PRR_SET_HASMOD","Налаштування мода"
"PRR_SET_NOMOD","Немає налаштувань моду"
"PRR_SET_HASAUT","Налаштування автора"
"PRR_SET_NOAUT","Немає налаштувань автора"
"PRR_SET_HASLOC","Локальні налаштування"
"PRR_SET_NOLOC","Немає локальних налаштувань"
"PRR_SET_HASANY","Будь-які налаштування"
"PRR_SET_HASNON","Немає налаштувань"
"PRR_SAV_SAV","Зберегти"
"PRR_SAV_ADD","Додати локальні"
"PRR_SAV_REM","Видалити локальні"
"PRR_SAV_APP","Зберегти та застосувати"
"PRR_EXP","УВАГА: ЕКСПЕРИМЕНТАЛЬНО"
"TRN_CHOICE","Вибрати мову"
"LANGUAGE_GAME","Мова гри"
"PRR_DESCRIPTION","Дозволяє використовувати будівлі RICO більше ніж 4х4 у розмірах, а також налаштування будівель RICO"
"PRR_OPTION_PLP","Миттєво ставити будівлі (без будівництва)"
"PRR_OPTION_ZON","Зростаючі будівлі можуть вижити за межами правильної зони"
"PRR_OPTION_SPC","Посилені будівлі можуть вижити без необхідних спеціалізації району"
"PRR_OPTION_STY","Стилі будівель"
"PRR_OPTION_STR","Заборонити видалення стилів існуючих будівель"
"PRR_OPTION_VAL","Ігнорувати скаргу 'дешевих земель'"
"PRR_OPTION_SVC","Ігнорувати скаргу ""занадто мало послуг"""
"PRR_OPTION_HST","Зробіть всі об'єкти історичними"
